Category,Ad Name,Asset ID,Headline,Problem,Solution,Offer Style,CTA Text,CTA Position,Social Proof,Emotion,Brand,Urgency,Contrast,Color,Human Presence,Headline Number,% Sign,$ Sign,FREE,ALL CAPS
MediaGO,image,24575436,Luxury Replacement Windows That Elevate Every Room,Outdated,Luxury/Comfort,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,Mid,Warm,Body No Face,N,N,N,Y,N
MediaGO,image,24575441,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,High,Warm,Body No Face,N,N,N,N,N
MediaGO,image,24575451,Here's What Windows Should Cost You in 2025,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Low,Warm,Face Subtle,Y,N,N,N,N
MediaGO,uri_ifs___m_ujska9wnfvcp8n3hzekxy2yphsfdtma5bvfdsroh3em__1__720,24575450,Here's What Windows Should Cost You in 2025,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Cool,Body No Face,N,N,N,N,N
MediaGO,d0a3c92c-4fb9-451c-91ad-6291077fb5a0,24575434,Luxury Replacement Windows That Elevate Every Room,Outdated,Luxury/Comfort,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,Mid,Warm,None,N,N,N,N,N
MediaGO,d0a3c92c-4fb9-451c-91ad-6291077fb5a0,24575439,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Warm,None,Y,N,Y,Y,N
MediaGO,Dark before and after,24575447,Here's What Windows Should Cost You in 2025,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Low,Warm,None,Y,N,N,N,N
MediaGO,Man on ladder,24575438,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Warm,Body No Face,N,N,N,N,N
MediaGO,image,24575431,Replace Windows in Your ZIP,Outdated,Beauty/Modernization,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,Mid,Warm,Body No Face,N,N,s,Y,N
MediaGO,Dark before and after,24575427,Replace Windows in Your ZIP,Outdated,Beauty/Modernization,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,High,Warm,None,N,N,N,Y,N
MediaGO,uri_ifs___m_ujska9wnfvcp8n3hzekxy2yphsfdtma5bvfdsroh3em__1__720,24575435,Luxury Replacement Windows That Elevate Every Room,Outdated,Luxury/Comfort,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,Mid,Cool,Body No Face,N,N,N,Y,N
MediaGO,uri_ifs___m_ujska9wnfvcp8n3hzekxy2yphsfdtma5bvfdsroh3em__1__720,24575440,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Cool,Body No Face,N,N,N,N,N
MediaGO,d0a3c92c-4fb9-451c-91ad-6291077fb5a0,24575429,Replace Windows in Your ZIP,Outdated,Beauty/Modernization,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,High,Warm,None,N,N,N,Y,N
MediaGO,d0a3c92c-4fb9-451c-91ad-6291077fb5a0,24575449,Here's What Windows Should Cost You in 2025,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Warm,None,Y,N,N,N,N
MediaGO,Man on ladder,24575428,Replace Windows in Your ZIP,Outdated,Beauty/Modernization,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,Mid,Warm,Body No Face,N,N,N,N,N
MediaGO,uri_ifs___m_ujska9wnfvcp8n3hzekxy2yphsfdtma5bvfdsroh3em__1__720,24575445,"Strong, Weatherproof Windows for Any Climate",Outdated,Energy Efficiency,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,Mid,Cool,Body No Face,N,N,N,N,N
MediaGO,Dark before and after,24575437,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Warm,None,Y,N,N,Y,N
MediaGO,Dark before and after,24575442,"Strong, Weatherproof Windows for Any Climate",Outdated,Energy Efficiency,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,Mid,Warm,None,N,N,N,Y,N
MediaGO,Man on ladder,24575448,Here's What Windows Should Cost You in 2025,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Warm,Body No Face,Y,N,N,N,N
MediaGO,uri_ifs___m_ujska9wnfvcp8n3hzekxy2yphsfdtma5bvfdsroh3em__1__720,24575430,Replace Windows in Your ZIP,Outdated,Beauty/Modernization,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,Mid,Cool,Body No Face,N,N,N,N,N
MediaGO,d0a3c92c-4fb9-451c-91ad-6291077fb5a0,24575444,"Strong, Weatherproof Windows for Any Climate",Outdated,Energy Efficiency,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,Mid,Cool,None,N,N,N,N,N
MediaGO,Man on ladder,24575443,"Strong, Weatherproof Windows for Any Climate",Outdated,Energy Efficiency,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,Mid,Cool,Body No Face,N,N,N,Y,N
MediaGO,Man on ladder,24575433,Luxury Replacement Windows That Elevate Every Room,Outdated,Luxury/Comfort,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,Mid,Warm,Body No Face,N,N,N,N,N
